,Position,Athlete,NOC,Medal,Event,Sport,Sex,Birth,Height,Weight
31,32,Kiria Tikanah Abdul Rahman,SGP,NA,"Épée, Individual, Women",FEN,Female,25 June 2000,0,0
32,33,Kaylin Hsieh,HKG,NA,"Épée, Individual, Women",FEN,Female,19 May 2001,169,65
33,34,Coco Lin,HKG,NA,"Épée, Individual, Women",FEN,Female,19 February 1995,0,0
0,1,Sofiya Pozdnyakova,ROC,Gold,"Sabre, Individual, Women",FEN,Female,17 June 1997,0,0
1,2,Sofya Velikaya,ROC,Silver,"Sabre, Individual, Women",FEN,Female,8 June 1985,175,70
2,3,Manon Brunet,FRA,Bronze,"Sabre, Individual, Women",FEN,Female,7 February 1996,165,55
3,4,Anna Márton,HUN,NA,"Sabre, Individual, Women",FEN,Female,31 March 1995,180,70
4,5,Mariel Zagunis,USA,NA,"Sabre, Individual, Women",FEN,Female,3 March 1985,173,72
5,6,Qian Jiarui,CHN,NA,"Sabre, Individual, Women",FEN,Female,30 May 1992,0,0
6,7,Olga Nikitina,ROC,NA,"Sabre, Individual, Women",FEN,Female,26 November 1998,0,0
7,8,Zaynab Dayibekova,UZB,NA,"Sabre, Individual, Women",FEN,Female,19 November 2002,0,0
8,9,Liza Pusztai,HUN,NA,"Sabre, Individual, Women",FEN,Female,11 May 2001,170,57
9,10,Kim Ji-Yeon,KOR,NA,"Sabre, Individual, Women",FEN,Female,12 March 1988,165,56
10,11,Yun Ji-Su,KOR,NA,"Sabre, Individual, Women",FEN,Female,24 January 1993,170,60
11,12,Irene Vecchi,ITA,NA,"Sabre, Individual, Women",FEN,Female,10 June 1989,170,56
12,13,Misaki Emura,JPN,NA,"Sabre, Individual, Women",FEN,Female,20 November 1998,0,0
13,14,Choi Su-Yeon,KOR,NA,"Sabre, Individual, Women",FEN,Female,23 November 1990,0,0
14,15,Anna Bashta,AZE,NA,"Sabre, Individual, Women",FEN,Female,10 July 1996,0,0
15,16,Yang Hengyu,CHN,NA,"Sabre, Individual, Women",FEN,Female,22 July 1996,0,0
16,17,Olha Kharlan,UKR,NA,"Sabre, Individual, Women",FEN,Female,4 September 1990,172,68
17,18,Shao Yaqi,CHN,NA,"Sabre, Individual, Women",FEN,Female,28 November 1996,0,0
18,19,Eliza Stone,USA,NA,"Sabre, Individual, Women",FEN,Female,31 December 1990,175,75
19,20,Cécilia Berder,FRA,NA,"Sabre, Individual, Women",FEN,Female,13 December 1989,171,65
20,21,Theodora Gkountoura,GRE,NA,"Sabre, Individual, Women",FEN,Female,14 March 1997,0,0
21,22,Charlotte Lembach,FRA,NA,"Sabre, Individual, Women",FEN,Female,1 April 1988,164,57
22,23,Rossella Gregorio,ITA,NA,"Sabre, Individual, Women",FEN,Female,30 August 1990,164,60
23,24,Martina Criscio,ITA,NA,"Sabre, Individual, Women",FEN,Female,24 January 1994,0,0
24,25,Dagmara Wozniak,USA,NA,"Sabre, Individual, Women",FEN,Female,1 July 1988,173,81
25,26,Norika Tamura,JPN,NA,"Sabre, Individual, Women",FEN,Female,20 June 1991,0,0
26,27,Gabriella Page,CAN,NA,"Sabre, Individual, Women",FEN,Female,29 October 1994,0,0
27,28,Amira Ben Chaabane,TUN,NA,"Sabre, Individual, Women",FEN,Female,29 May 1990,175,61
28,29,Nada Hafez,EGY,NA,"Sabre, Individual, Women",FEN,Female,28 August 1997,168,58
29,30,Belén Pérez,ARG,NA,"Sabre, Individual, Women",FEN,Female,12 July 1985,180,68
30,31,C. A. Bhavani Devi,IND,NA,"Sabre, Individual, Women",FEN,Female,27 August 1993,0,0
31,32,Renáta Katona,HUN,NA,"Sabre, Individual, Women",FEN,Female,17 November 1994,0,0
32,33,Chika Aoki,JPN,NA,"Sabre, Individual, Women",FEN,Female,21 February 1990,158,54
33,34,Yasmine Daghfous,TUN,NA,"Sabre, Individual, Women",FEN,Female,1 January 2000,0,0
34,35,Kaouther Belkebir,ALG,NA,"Sabre, Individual, Women",FEN,Female,5 August 2003,0,0
35,36,Nadia Ben Azizi,TUN,NA,"Sabre, Individual, Women",FEN,Female,9 July 2002,0,0
0,1,Xander Schauffele,USA,Gold,"Individual, Men",GOL,Male,25 October 1993,178,
1,2,Rory Sabbatini,SVK,Silver,"Individual, Men",GOL,Male,2 April 1976,177,77
2,3,Pan Cheng-Tsung,TPE,Bronze,"Individual, Men",GOL,Male,22 December 1991,0,0
3,=4,Collin Morikawa,USA,NA,"Individual, Men",GOL,Male,6 February 1997,175,73
4,=4,Guillermo Pereira,CHI,NA,"Individual, Men",GOL,Male,31 March 1995,0,0
5,=4,Rory McIlroy,IRL,NA,"Individual, Men",GOL,Male,4 May 1989,0,0
6,=4,Sebastián Muñoz,COL,NA,"Individual, Men",GOL,Male,1 April 1993,0,0
7,=4,Hideki Matsuyama,JPN,NA,"Individual, Men",GOL,Male,25 February 1992,0,0
8,=4,Paul Casey,GBR,NA,"Individual, Men",GOL,Male,21 July 1977,0,0
9,=10,Joaquín Niemann,CHI,NA,"Individual, Men",GOL,Male,7 November 1998,0,0
10,=10,Cameron Smith,AUS,NA,"Individual, Men",GOL,Male,18 August 1993,0,0
11,=10,Josef Straka,AUT,NA,"Individual, Men",GOL,Male,1 May 1993,0,0
12,13,Corey Conners,CAN,NA,"Individual, Men",GOL,Male,6 January 1992,0,0
13,=14,Viktor Hovland,NOR,NA,"Individual, Men",GOL,Male,18 September 1997,178,
14,=14,Abraham Ancer,MEX,NA,"Individual, Men",GOL,Male,27 February 1991,0,0
15,=16,Jhonattan Vegas,VEN,NA,"Individual, Men",GOL,Male,19 August 1984,191,100
16,=16,Alex Noren,SWE,NA,"Individual, Men",GOL,Male,12 July 1982,0,0
17,=16,Scott Vincent,ZIM,NA,"Individual, Men",GOL,Male,20 May 1992,0,0
18,=16,Christiaan Bezuidenhout,RSA,NA,"Individual, Men",GOL,Male,18 May 1994,0,0
19,=16,Thomas Pieters,BEL,NA,"Individual, Men",GOL,Male,27 January 1992,196,85
20,=16,Tommy Fleetwood,GBR,NA,"Individual, Men",GOL,Male,19 January 1991,0,0
21,=22,Justin Thomas,USA,NA,"Individual, Men",GOL,Male,29 April 1993,178,73
22,=22,Patrick Reed,USA,NA,"Individual, Men",GOL,Male,5 August 1990,183,91
23,=22,Im Seong-Jae,KOR,NA,"Individual, Men",GOL,Male,30 March 1998,0,0
24,=22,Thomas Detry,BEL,NA,"Individual, Men",GOL,Male,13 January 1993,0,0
25,=22,Shane Lowry,IRL,NA,"Individual, Men",GOL,Male,2 April 1987,0,0
26,=27,Matthias Schwab,AUT,NA,"Individual, Men",GOL,Male,9 December 1994,0,0
27,=27,Renato Paratore,ITA,NA,"Individual, Men",GOL,Male,14 December 1996,0,0
28,=27,Atiwit Janewattananond,THA,NA,"Individual, Men",GOL,Male,26 November 1995,0,0
29,=27,Sami Välimäki,FIN,NA,"Individual, Men",GOL,Male,16 July 1998,0,0
30,=27,Joachim Brandt Hansen,DEN,NA,"Individual, Men",GOL,Male,18 August 1990,0,0
31,=32,Wu Ashun,CHN,NA,"Individual, Men",GOL,Male,22 June 1985,183,81
32,=32,Kim Si-Wu,KOR,NA,"Individual, Men",GOL,Male,28 June 1995,0,0
33,=32,Guido Migliozzi,ITA,NA,"Individual, Men",GOL,Male,25 January 1997,0,0
34,=35,Christopher Long,GER,NA,"Individual, Men",GOL,Male,21 July 1995,0,0
35,=35,Romain Langasque,FRA,NA,"Individual, Men",GOL,Male,18 May 1995,0,0
36,=35,Fabrizio Zanotti,PAR,NA,"Individual, Men",GOL,Male,21 May 1983,169,70
37,=38,Rikuya Hoshino,JPN,NA,"Individual, Men",GOL,Male,12 May 1996,0,0
38,=38,Adria Arnaus,ESP,NA,"Individual, Men",GOL,Male,17 October 1994,0,0
39,=38,Yuan Yechun,CHN,NA,"Individual, Men",GOL,Male,21 March 1997,0,0
40,=38,Rasmus Hoejgaard,DEN,NA,"Individual, Men",GOL,Male,12 March 2001,0,0
41,=42,Ryan Fox,NZL,NA,"Individual, Men",GOL,Male,22 January 1987,179,98
42,=42,Anirban Lahiri,IND,NA,"Individual, Men",GOL,Male,29 June 1987,175,
43,=42,Carlos Ortiz,MEX,NA,"Individual, Men",GOL,Male,24 April 1991,0,0
44,=45,Gunn Charoenkul,THA,NA,"Individual, Men",GOL,Male,10 April 1992,0,0
45,=45,Kalle Samooja,FIN,NA,"Individual, Men",GOL,Male,25 January 1988,0,0
46,=45,Henrik Norlander,SWE,NA,"Individual, Men",GOL,Male,25 March 1987,0,0
47,=45,Antoine Rozner,FRA,NA,"Individual, Men",GOL,Male,12 February 1993,0,0
48,=45,Maximilian Kieffer,GER,NA,"Individual, Men",GOL,Male,25 June 1990,0,0
49,50,Mackenzie Hughes,CAN,NA,"Individual, Men",GOL,Male,23 November 1990,0,0
50,=51,Marc Leishman,AUS,NA,"Individual, Men",GOL,Male,24 October 1983,0,0
51,=51,Adrian Meronk,POL,NA,"Individual, Men",GOL,Male,31 May 1993,0,0
52,=53,Kristian Krogh Johannessen,NOR,NA,"Individual, Men",GOL,Male,3 June 1995,185,
53,=53,Garrick Higgo,RSA,NA,"Individual, Men",GOL,Male,12 May 1999,0,0
54,55,Juvic Pagunsan,PHI,NA,"Individual, Men",GOL,Male,11 May 1978,0,0
55,56,Udayan Mane,IND,NA,"Individual, Men",GOL,Male,24 February 1991,0,0
56,=57,Rafael Campos,PUR,NA,"Individual, Men",GOL,Male,15 April 1988,0,0
57,=57,Gavin Green,MAS,NA,"Individual, Men",GOL,Male,28 December 1993,185,91
58,59,Jorge Campillo,ESP,NA,"Individual, Men",GOL,Male,1 June 1986,0,0
59,60,Ondřej Lieser,CZE,NA,"Individual, Men",GOL,Male,12 August 1991,0,0
0,1,Nelly Korda,USA,Gold,"Individual, Women",GOL,Female,28 July 1998,178,
1,2,Mone Inami,JPN,Silver,"Individual, Women",GOL,Female,29 July 1999,0,0
2,3,Lydia Ko,NZL,Bronze,"Individual, Women",GOL,Female,24 April 1997,165,
3,4,Aditi Ashok,IND,NA,"Individual, Women",GOL,Female,29 March 1998,173,57
4,=5,Hannah Green,AUS,NA,"Individual, Women",GOL,Female,20 December 1996,0,0
5,=5,Emily Kristine Pedersen,DEN,NA,"Individual, Women",GOL,Female,7 March 1996,0,0
6,7,Stephanie Meadow,IRL,NA,"Individual, Women",GOL,Female,20 January 1992,163,64
7,8,Feng Shanshan,CHN,NA,"Individual, Women",GOL,Female,5 August 1989,170,85
8,=9,Yuka Saso,PHI,NA,"Individual, Women",GOL,Female,20 June 2001,0,0
9,=9,Kim Se-Yeong,KOR,NA,"Individual, Women",GOL,Female,21 January 1993,163,68
10,=9,Go Jin-Yeong,KOR,NA,"Individual, Women",GOL,Female,7 July 1995,0,0
11,=9,Lin Xiyu,CHN,NA,"Individual, Women",GOL,Female,25 February 1996,168,65
12,=9,Nasa Hataoka,JPN,NA,"Individual, Women",GOL,Female,13 January 1999,0,0
13,=9,Nanna Madsen,DEN,NA,"Individual, Women",GOL,Female,23 October 1994,171,67
14,=15,Jessica Korda,USA,NA,"Individual, Women",GOL,Female,27 February 1993,180,
15,=15,Hsu Wei-Ling,TPE,NA,"Individual, Women",GOL,Female,20 October 1994,0,0
16,=15,Kim Hyo-Ju,KOR,NA,"Individual, Women",GOL,Female,14 July 1995,0,0
17,=18,Albane Valenzuela,SUI,NA,"Individual, Women",GOL,Female,17 December 1997,174,58
18,=18,Matilda Castren,FIN,NA,"Individual, Women",GOL,Female,18 January 1995,0,0
19,=20,Danielle Kang,USA,NA,"Individual, Women",GOL,Female,20 October 1992,168,
20,=20,Sanna Nuutinen,FIN,NA,"Individual, Women",GOL,Female,8 April 1991,0,0
21,=20,Madelene Sagstrom,SWE,NA,"Individual, Women",GOL,Female,13 November 1992,0,0
22,=23,Patty Tavatanakit,THA,NA,"Individual, Women",GOL,Female,11 October 1999,0,0
23,=23,María José Fassi,MEX,NA,"Individual, Women",GOL,Female,25 March 1998,0,0
24,=23,Park In-Bi,KOR,NA,"Individual, Women",GOL,Female,12 July 1988,168,65
25,=23,Klára Spilková,CZE,NA,"Individual, Women",GOL,Female,15 December 1994,168,53
26,=23,Anna Nordqvist,SWE,NA,"Individual, Women",GOL,Female,10 June 1987,183,75
27,=23,Leona Maguire,IRL,NA,"Individual, Women",GOL,Female,30 November 1994,168,56
28,=29,Carlota Ciganda,ESP,NA,"Individual, Women",GOL,Female,1 June 1990,173,68
29,=29,Minjee Lee,AUS,NA,"Individual, Women",GOL,Female,27 May 1996,165,60
30,=29,Perrine Delacour,FRA,NA,"Individual, Women",GOL,Female,5 April 1994,0,0
31,=29,Brooke Henderson,CAN,NA,"Individual, Women",GOL,Female,10 September 1997,163,50
32,33,Lexi Thompson,USA,NA,"Individual, Women",GOL,Female,10 February 1995,180,73
33,=34,Lee Min,TPE,NA,"Individual, Women",GOL,Female,3 June 1995,0,0
34,=34,Céline Boutier,FRA,NA,"Individual, Women",GOL,Female,10 November 1993,0,0
35,=34,Pia Babnik,SLO,NA,"Individual, Women",GOL,Female,2 January 2004,0,0
36,=34,Kelly Tan,MAS,NA,"Individual, Women",GOL,Female,26 October 1993,165,61
37,=38,Daniela Magdalena Darquea,ECU,NA,"Individual, Women",GOL,Female,26 June 1995,0,0
38,=38,Gaby López,MEX,NA,"Individual, Women",GOL,Female,9 November 1993,168,58
39,=40,Jodi Ewart Shadoff,GBR,NA,"Individual, Women",GOL,Female,7 January 1988,0,0
40,=40,Caroline Masson,GER,NA,"Individual, Women",GOL,Female,14 May 1989,173,72
41,=40,Sophia Popov,GER,NA,"Individual, Women",GOL,Female,2 October 1992,0,0
42,=43,Bianca Pagdanganan,PHI,NA,"Individual, Women",GOL,Female,28 October 1997,0,0
43,=43,Ariya Jutanugarn,THA,NA,"Individual, Women",GOL,Female,23 November 1995,170,73
44,=43,Maha Haddioui,MAR,NA,"Individual, Women",GOL,Female,15 May 1988,168,67
45,=46,Manon De Roey,BEL,NA,"Individual, Women",GOL,Female,12 December 1991,0,0
46,=46,Giulia Molinaro,ITA,NA,"Individual, Women",GOL,Female,23 July 1990,178,72
47,48,María Torres,PUR,NA,"Individual, Women",GOL,Female,15 December 1994,0,0
48,49,Alena Sharp,CAN,NA,"Individual, Women",GOL,Female,7 March 1981,168,69
49,=50,Azahara Muñoz,ESP,NA,"Individual, Women",GOL,Female,19 November 1987,164,56
50,=50,Diksha Dagar,IND,NA,"Individual, Women",GOL,Female,14 December 2000,174,
51,=50,Maríajo Uribe,COL,NA,"Individual, Women",GOL,Female,27 February 1990,168,65
52,=50,Tiffany Chan,HKG,NA,"Individual, Women",GOL,Female,12 September 1993,160,52
53,54,Kim Métraux,SUI,NA,"Individual, Women",GOL,Female,21 May 1995,0,0
54,55,Mel Reid,GBR,NA,"Individual, Women",GOL,Female,19 September 1987,0,0
55,56,Christine Wolf,AUT,NA,"Individual, Women",GOL,Female,5 March 1989,172,63
56,57,Anne van Dam,NED,NA,"Individual, Women",GOL,Female,2 October 1995,0,0
57,58,Magdalena Simmermacher,ARG,NA,"Individual, Women",GOL,Female,23 March 1996,0,0
58,59,Lucrezia Colombotto Rosso,ITA,NA,"Individual, Women",GOL,Female,7 March 1996,0,0
59,60,Tonje Daffinrud,NOR,NA,"Individual, Women",GOL,Female,19 September 1991,178,
0,1,Naohisa Takato,JPN,Gold,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,30 May 1993,160,60
1,2,Yang Yung-Wei,TPE,Silver,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,28 September 1997,0,0
2,=3,Yeldos Smetov,KAZ,Bronze,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,9 September 1992,167,60
3,=3,Luka Mkheidze,FRA,Bronze,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,5 January 1996,0,0
4,=5,Tornike Tsjakadoea,NED,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,5 October 1996,0,0
5,=5,Kim Won-Jin,KOR,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,1 May 1992,168,60
6,=7,Artem Lesiuk,UKR,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,30 November 1996,0,0
7,=7,Lukhumi Chkhvimiani,GEO,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,3 May 1993,0,0
8,=9,Karamat Huseynov,AZE,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,30 August 1998,0,0
9,=9,Jorre Verstraeten,BEL,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,4 December 1997,0,0
10,=9,Eric Takabatake,BRA,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,9 January 1991,0,0
11,=9,Yanislav Gerchev,BUL,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,4 October 1989,170,60
12,=9,Francisco Garrigós,ESP,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,9 December 1994,160,60
13,=9,Robert Mshvidobadze,ROC,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,17 August 1989,0,0
14,=9,Mihraç Akkuş,TUR,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,1 June 2000,0,0
15,=9,Sharafuddin Lutfillaev,UZB,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,9 September 1990,0,0
16,=17,Ngawang Namgyel,BHU,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,27 December 1998,0,0
17,=17,Lenin Preciado,ECU,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,23 August 1993,170,60
18,=17,Ashley McKenzie,GBR,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,17 July 1989,168,60
19,=17,Moritz Plafky,GER,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,10 April 1996,0,0
20,=17,José Ramos,GUA,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,9 November 1994,156,60
21,=17,Soukphaxay Sithisane,LAO,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,1 May 1996,160,60
22,=17,Dashdavaa Amartuvshin,MGL,NA,"Extra-Lightweight (≤60 kilograms), Men",JUD,Male,15 December 1987,0,0
0,1,Hifumi Abe,JPN,Gold,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,9 August 1997,0,0
1,2,Vazha Margvelashvili,GEO,Silver,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,3 October 1993,167,66
2,=3,An Ba-Ul,KOR,Bronze,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,25 March 1994,169,66
3,=3,Daniel Cargnin,BRA,Bronze,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,20 December 1997,0,0
4,=5,Manuel Lombardo,ITA,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,4 December 1998,0,0
5,=5,Baruch Shmailov,ISR,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,2 September 1994,0,0
6,=7,Yondonperenlei Baskhuu,MGL,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,1 October 1993,0,0
7,=7,Adrian Gomboc,SLO,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,20 January 1995,170,69
8,=9,Nathan Katz,AUS,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,17 January 1995,175,66
9,=9,Dzmitry Minkou,BLR,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,31 August 1996,0,0
10,=9,Ian Sancho,CRC,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,5 September 1992,0,0
11,=9,Kilian Le Blouch,FRA,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,7 October 1989,171,70
12,=9,Yerlan Serikzhanov,KAZ,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,12 February 1995,0,0
13,=9,Denis Vieru,MDA,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,10 March 1996,0,0
14,=9,Yakub Shamilov,ROC,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,25 April 1991,0,0
15,=9,Heorhiy Zantaraia,UKR,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,21 October 1987,171,66
16,=17,Indrit Cullhaj,ALB,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,16 January 1997,0,0
17,=17,Orxan Səfərov,AZE,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,10 August 1991,171,60
18,=17,Mohamed Abdel Mawgoud,EGY,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,10 June 1994,0,0
19,=17,Alberto Gaitero,ESP,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,3 July 1996,0,0
20,=17,Sebastian Seidl,GER,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,12 July 1990,174,70
21,=17,Kevin Loforte,MOZ,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,27 February 1997,0,0
22,=17,Ismael Al-Hassane,NIG,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,14 July 1994,0,0
23,=17,Juan Postigos,PER,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,13 May 1989,160,60
24,=17,Ayoub El-Idrissi,QAT,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,23 October 1994,0,0
25,=17,Sardor Nurillaev,UZB,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,12 November 1994,0,0
26,=17,Steven Mungandu,ZAM,NA,"Half-Lightweight (≤66 kilograms), Men",JUD,Male,6 May 1995,0,0
0,1,Shohei Ono,JPN,Gold,"Lightweight (≤73 kilograms), Men",JUD,Male,3 February 1992,170,73
1,2,Lasha Shavdatuashvili,GEO,Silver,"Lightweight (≤73 kilograms), Men",JUD,Male,31 January 1992,170,75
2,=3,An Chang-Rim,KOR,Bronze,"Lightweight (≤73 kilograms), Men",JUD,Male,2 March 1994,170,73
3,=3,Tsend-Ochiryn Tsogtbaatar,MGL,Bronze,"Lightweight (≤73 kilograms), Men",JUD,Male,16 March 1996,170,68
4,=5,Rüstəm Orucov,AZE,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,4 October 1991,179,73
5,=5,Arthur Margelidon,CAN,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,12 October 1993,0,0
6,=7,Akil Gjakova,KOS,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,4 January 1996,0,0
7,=7,Tohar Butbul,ISR,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,24 January 1994,0,0
8,=9,Aden-Alexandre Houssein,DJI,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,28 March 1998,0,0
9,=9,Zhansay Smagulov,KAZ,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,26 September 1992,169,66
10,=9,Victor Sterpu,MDA,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,14 June 1999,0,0
11,=9,Cédric Bessi,MON,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,28 November 1990,0,0
12,=9,Tommy Macias,SWE,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,20 January 1993,0,0
13,=9,Somon Makhmadbekov,TJK,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,24 March 1999,0,0
14,=9,Bilal Çiloğlu,TUR,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,16 June 1998,0,0
15,=9,Khikmatillokh Turaev,UZB,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,25 May 1995,0,0
16,=17,Ferdinand Karapetian,ARM,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,19 December 1992,0,0
17,=17,Lucas Diallo,BUR,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,13 July 1996,0,0
18,=17,Magdiel Estrada,CUB,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,26 August 1994,176,73
19,=17,Guillaume Chaine,FRA,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,24 October 1986,0,0
20,=17,Faye Njie,GAM,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,23 November 1993,0,0
21,=17,Igor Wandtke,GER,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,3 November 1990,176,76
22,=17,Mamadou Samba Bah,GUI,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,13 May 1995,0,0
23,=17,Fabio Basile,ITA,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,7 October 1994,160,66
24,=17,Younis Eyal Slman,JOR,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,9 May 1993,0,0
25,=17,Sulaiman Hamad,KSA,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,19 May 1994,177,66
26,=17,Musa Mogushkov,ROC,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,6 February 1988,170,66
27,=17,Alexandru Raicu,ROU,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,20 December 1996,0,0
28,=17,Chamara Repiyallage,SRI,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,10 May 1992,160,73
29,=17,Nils Stump,SUI,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,12 April 1997,0,0
30,=17,Victor Scvortov,UAE,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,30 March 1988,173,73
31,=32,Eduardo Barbosa,BRA,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,16 November 1991,0,0
32,=32,Ahmed Ayash,YEM,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,1 January 1994,0,0
33,DNS,Fethi Nourine,ALG,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,14 June 1991,0,0
34,DNS,Mohamed Abdalrasool,SUD,NA,"Lightweight (≤73 kilograms), Men",JUD,Male,24 July 1993,0,0
0,1,Takanori Nagase,JPN,Gold,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,14 October 1993,181,81
1,2,Saeid Mollaei,MGL,Silver,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,5 January 1992,176,82
2,=3,Shamil Borchashvili,AUT,Bronze,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,9 June 1995,0,0
3,=3,Matthias Casse,BEL,Bronze,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,19 February 1997,0,0
4,=5,Dominic Ressel,GER,NA,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,5 October 1993,0,0
5,=5,Tato Grigalashvili,GEO,NA,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,1 December 1999,0,0
6,=7,Alan Khubetsov,ROC,NA,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,29 June 1993,0,0
7,=7,Sharofiddin Boltaboev,UZB,NA,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,19 November 1995,0,0
8,=9,Murad Fatiyev,AZE,NA,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,4 February 1999,0,0
9,=9,Ivaylo Ivanov,BUL,NA,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,20 July 1994,180,81
10,=9,Antoine Valois-Fortier,CAN,NA,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,13 March 1990,190,81
11,=9,Sagi Muki,ISR,NA,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,17 May 1992,180,73
12,=9,Christian Parlati,ITA,NA,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,23 January 1998,0,0
13,=9,Lee Seong-Ho,KOR,NA,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,9 July 1992,0,0
14,=9,Frank de Wit,NED,NA,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,13 February 1996,184,81
15,=9,Robin Pacek,SWE,NA,"Half-Middleweight (≤81 kilograms), Men",JUD,Male,17 March 1991,181,81
